Bill_no.,Status
"('Tax credits for living and deceased organ donors',)"
"('Provide a sales tax exemption for firearms and firearm ammunition for WV residents',)"
"('Repeal code relating to inspection of vehicles',)"
"('Bias Motivated Intimidation of Responders Prosecution Act',)"
"('Make WV a 2nd Amendment Sanctuary State',)"
"('Distracted Driving Act',)"
"('Relating to expansion of the alcohol test and lock program to offenders with a drug related offense',)"
"('Providing explicit authority to process an online driver’s license or identification renewal or reissuance when the applicant needs to update the address',)"
"('Related to the Unemployment Insurance Program Integrity Act and enacting the unemployment compensation indexing system',)"
"('Provide for a change in compensation for the Board of Public Works beginning July 1, 2021',)"
"('Exempting the Division of Emergency Management from the Purchasing Division for purposes of examination and approving contracts of the Division of Emergency Management',)"
"('Establishing the behavioral health workforce education initiative at the Higher Education Policy Commission',)"
"('Transferring the Parole Board to the Office of Administrative Hearings',)"
"('Modifying the school calendar to begin not earlier than September 1 and end no later than June 1',)"
"('Reestablishing prevailing wages for certain state government contracts',)"
"('Transferring certain property to the Economic Development Office',)"
"('Modernize the process for dissolution of municipal corporations in this State',)"
"('Prohibiting discrimination in access to organ transplants based on physical or mental disability',)"
"('Provide programs to educate senior citizens',)"
"('Prohibiting smoking in an enclosed motor vehicle when a child under the age of eight is present',)"
"('Requiring the State Board of Education to provide for the routine education of all professional educators',)"
"('Allowing increased civil administrative penalties to be promulgated by legislative rules of by the Department of Environmental Protection',)"
"('Clean Drinking Water Act of 2020',)"
"('Requiring the Insurance Commissioner to regulate professional bondsmen',)"
"('Relating to tax credit for disabled veterans for lifetime hunting, trapping and fishing license',)"
"('Relating to economic development incentive tax credits',)"
"('Authorizing the Division of Highways to assess local impacts to roadways for activities permitted by the Department of Environmental Protection',)"
"('Exempt from this article any actions arising from the practice of elective abortion or elective abortion relates services',)"
"('Creating WV Cyber Incident Reporting',)"
"('Allow the Division of Financial Institutions to enter into reciprocity agreements with other jurisdictions that operate similar programs to the West Virginia Fintech Sandbox Program',)"
"('Relating to allowing emergency management and operations’ vehicles operated by airports to use red flashing warning lights',)"
"('Creating a felony crime relating to drug delivery resulting in death',)"
"('Creating a law-enforcement transparency board',)"
"('Supplementing, amending and increasing an existing item of appropriation from the State Road Fund, to the Department of Transportation, Division of Highways',)"
"('Supplementing, amending and increasing items of existing appropriation from the State Road Fund to the Department of Transportation, Division of Motor Vehicles',)"
"('Including home confinement officers in definition of law-enforcement officers',)"
"('Creating the Economic Development Tuition Waiver',)"
"('Relating generally to transferring the duties of the Purchasing Division to the State Auditor',)"
"('Permitting DNR to issue up to 100 permits for boats greater than 10 horsepower on Upper Mud River Lake',)"
"('Requiring that a state employee with a commercial driver’s license have a current medical evaluation certification',)"
"('Relating to the beginning and expiration of hunting and fishing licenses',)"
"('Creating the Air Ambulance Patient Protection Act',)"
"('Repeal municipal amusement tax',)"
